0,1,2,3,4,5,6,7,8
9.80,12.25,1.23,2.70,2.94,0.00,0.49,12.99,0.74
17.88,5.65,0.00,1.88,0.94,0.00,2.82,5.65,1.88
10.78,4.74,0.43,2.16,0.00,1.29,3.45,15.09,0.43
11.63,6.05,0.00,3.72,1.40,0.00,0.00,11.63,1.40
16.38,6.47,2.59,1.72,1.29,0.00,4.31,10.78,0.00
15.18,4.45,0.79,1.05,1.31,0.26,4.45,12.30,0.52
15.91,7.73,0.00,4.09,4.55,0.00,2.73,10.91,0.45
19.34,7.55,0.47,2.83,0.94,0.47,2.36,14.15,0.94
13.73,6.54,0.33,1.96,0.65,0.00,1.31,16.34,0.98
21.53,4.38,1.82,5.11,0.73,0.73,1.82,11.31,0.36
20.28,3.69,0.00,1.84,1.84,0.00,3.69,10.60,0.92
14.16,5.15,2.15,4.29,2.15,2.15,0.86,15.88,1.29
10.19,7.64,1.27,3.18,0.00,0.64,1.27,10.19,0.64
13.09,6.17,1.98,2.22,1.73,0.74,3.46,12.35,0.25
9.03,4.68,0.67,1.00,0.67,0.00,3.34,12.04,0.33
14.72,4.29,2.45,1.23,1.23,0.61,0.61,15.34,0.00
14.89,7.09,0.00,2.13,0.71,0.00,0.00,12.06,0.00
12.62,7.43,3.22,0.99,1.49,1.49,0.99,13.12,0.74
16.91,13.24,0.00,3.68,0.74,0.00,2.94,15.44,0.00
17.01,7.48,0.00,3.40,2.04,0.00,0.68,15.65,0.68
17.40,5.39,0.74,2.70,0.98,0.25,3.19,9.56,1.23
18.58,9.73,0.00,2.65,2.65,0.00,0.88,15.04,0.00
14.75,6.45,0.69,0.46,0.69,0.00,1.84,14.52,0.92
13.70,8.22,2.05,2.74,1.37,0.68,1.37,10.96,0.68
13.59,4.62,0.51,1.54,1.03,0.51,1.54,12.05,0.51
17.31,5.77,0.00,1.92,0.96,0.00,0.96,12.50,0.96
16.78,6.35,0.23,0.91,1.36,0.00,2.49,12.47,0.45
17.79,7.69,0.96,0.72,1.44,0.00,3.61,12.74,0.00
16.15,7.18,0.77,1.28,1.28,0.00,2.31,15.90,0.26
17.65,5.35,0.00,3.21,1.07,0.00,0.53,12.83,0.00
12.25,6.25,0.75,1.50,0.75,0.00,2.00,12.25,1.75
14.29,3.57,0.95,1.19,0.71,0.48,1.43,11.43,1.90
12.03,7.27,0.50,1.75,1.25,0.25,1.50,15.04,0.25
16.76,4.67,0.82,2.47,0.82,0.27,1.37,11.81,0.27
13.35,7.56,0.00,1.26,1.51,0.25,2.52,13.85,1.01
13.11,2.83,1.29,4.63,0.77,1.03,4.88,9.25,1.54
8.10,7.48,2.80,0.93,0.62,1.25,0.62,14.95,0.62
13.17,4.39,1.46,0.49,0.98,0.49,0.98,14.63,0.49
15.08,6.03,1.01,3.02,2.01,0.00,2.51,14.07,1.51
12.74,8.96,2.36,0.47,0.00,0.00,0.94,11.79,0.47
14.04,4.68,1.75,2.92,2.34,1.75,2.92,15.79,1.75
12.81,7.39,0.99,1.48,1.97,0.00,0.99,10.34,0.00
15.33,5.47,1.09,1.09,0.73,1.82,2.19,12.77,1.82
15.14,5.63,1.76,2.46,1.76,0.70,1.76,13.38,1.41
15.05,8.24,1.08,0.72,1.08,0.00,1.08,13.98,0.36
20.80,9.60,0.00,1.60,1.20,0.00,0.80,10.80,0.40
14.29,5.29,2.12,0.53,0.00,0.53,3.17,10.05,1.59
14.35,7.59,1.69,0.42,1.27,0.00,0.84,13.92,0.42
10.65,5.84,1.03,1.72,1.72,0.69,3.09,12.03,1.03
16.13,9.68,0.00,0.00,1.08,0.00,0.00,15.05,0.00
14.52,2.42,0.81,0.81,0.81,0.81,0.00,16.13,0.81
15.62,7.29,1.04,0.00,0.00,0.00,2.60,10.42,1.56
13.27,9.86,0.68,1.36,1.70,0.34,0.68,12.59,0.00
15.12,7.72,0.62,2.16,1.23,0.62,2.16,10.19,0.62
14.81,6.40,1.68,2.02,1.01,0.67,0.34,11.11,1.01
10.50,7.18,0.00,1.66,1.10,0.00,1.10,16.02,0.55
12.74,5.10,1.91,2.55,0.64,0.00,3.82,6.37,2.55
12.10,5.73,0.64,1.91,0.00,0.00,2.55,14.01,0.64
17.95,5.77,0.00,0.64,0.00,0.00,0.00,14.74,0.00
13.04,8.70,0.00,0.00,0.00,0.00,0.00,13.91,0.87
15.64,5.03,1.12,0.56,0.56,1.12,1.12,14.53,0.00
11.96,11.48,0.48,2.87,2.87,0.00,0.00,12.44,0.00
15.20,5.60,1.60,0.40,1.60,0.00,1.60,16.00,0.80
12.58,3.97,0.66,1.99,0.66,0.00,5.96,9.27,0.66
11.65,2.43,0.00,1.46,0.00,0.00,0.97,10.68,1.46
12.39,7.49,0.29,2.02,2.02,0.86,1.15,11.53,1.15
19.04,4.34,1.93,1.45,0.72,0.96,0.96,17.35,2.41
10.92,3.93,1.75,1.31,0.00,0.00,0.87,17.03,0.44
16.48,4.60,0.77,1.53,0.77,0.77,3.07,11.11,0.00
10.82,6.49,0.87,0.00,0.00,0.87,0.43,14.29,1.30
12.02,6.25,0.00,1.92,1.92,0.00,5.77,8.17,0.00
15.45,5.28,0.41,3.25,0.41,0.00,0.81,10.16,0.00
12.76,5.61,1.02,2.04,1.53,0.51,0.00,17.86,0.00
14.14,6.06,0.00,5.05,3.03,0.00,2.02,11.11,1.01
18.72,7.76,0.46,6.39,1.37,0.00,0.46,10.05,1.37
18.10,7.62,0.00,1.90,0.95,0.00,2.86,13.33,0.95
13.08,3.74,0.00,0.93,0.00,0.00,0.00,13.08,0.00
16.58,4.08,0.27,2.72,1.63,0.27,2.17,10.60,0.27
14.04,6.51,0.00,1.71,1.37,0.00,2.40,11.64,0.00
14.64,7.95,0.42,2.93,1.26,0.42,0.84,12.97,0.84
10.07,5.16,0.00,0.98,1.23,0.00,1.47,21.38,0.25
18.52,6.48,0.93,2.16,3.09,0.31,1.54,14.51,0.31
15.66,6.02,0.00,1.81,0.00,0.00,0.60,15.06,0.60
12.56,9.18,2.42,0.48,2.90,0.97,0.48,17.39,0.00
19.08,5.34,0.76,2.29,0.76,0.00,0.76,14.50,0.76
15.35,3.07,1.75,1.32,1.75,0.00,1.32,14.91,0.88
18.35,8.24,0.75,1.50,2.25,0.00,0.00,11.99,0.75
15.61,3.99,1.00,1.33,1.33,0.00,1.33,12.96,0.66
17.29,7.52,0.00,3.76,2.26,0.75,2.26,11.28,0.00
8.91,4.65,1.16,3.10,1.16,0.39,2.33,13.95,0.39
